From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm)
2016-07-28,26.092916666666667,32.029583333333335,9.74375,32.49666666666666,42.24166666666667,5.266666666666667,2.2345833333333336,11.025833333333333,0.05291666666666667,0.8329166666666667,,25.34,68.25333333333333,1.21875,17.670833333333334,145.29571428571427,943.5145833333332,,0.33375,0.25
2016-07-29,19.779999999999998,25.139166666666668,9.737916666666667,32.415,42.15416666666667,5.26375,2.1679166666666667,10.964999999999998,0.035833333333333335,0.6345833333333334,,24.645416666666666,69.89541666666666,1.3495833333333334,17.555833333333336,137.05263157894737,943.1529166666668,,0.2225,
2016-07-30,23.583333333333332,28.1975,10.215416666666668,33.37166666666666,43.585,5.521249999999999,2.151666666666667,11.205416666666666,0.044347826086956525,0.6879166666666667,,24.703333333333333,71.70541666666666,1.2958333333333334,17.49875,148.51466666666664,942.3904166666666,,0.25,0.25
2016-07-31,29.7,24.488333333333333,10.597083333333332,34.08375,44.68,5.729166666666667,2.160416666666667,11.102916666666665,0.03333333333333333,0.4908333333333333,,24.584166666666665,73.36041666666667,1.2679166666666666,17.01125,174.87666666666667,943.4004166666667,,0.17208333333333334,0.25
2016-08-01,17.543,16.78291666666667,10.974166666666667,34.785000000000004,45.759166666666665,5.9325,2.1275,10.882916666666667,0.06,0.9362499999999999,,23.224999999999998,78.25625000000001,1.19625,16.170833333333334,81.386,942.2800000000001,,0.4058333333333333,0.21285714285714286
2016-08-02,26.930000000000003,27.076666666666668,12.513333333333334,37.64791666666667,50.1625,6.763750000000001,2.19875,11.260833333333332,0.05833333333333333,0.8816666666666667,,23.62125,76.09833333333333,1.4233333333333331,16.449583333333333,74.47333333333333,939.50875,,0.35791666666666666,0.24333333333333332
2016-08-03,15.900869565217393,16.925,13.012916666666667,38.57791666666667,51.59,7.033333333333334,2.28125,15.563333333333333,0.09041666666666666,1.2566666666666666,,23.114583333333332,81.5775,0.6945833333333332,13.465000000000002,57.126842105263165,939.2966666666666,,0.5916666666666667,0.22533333333333333
2016-08-04,25.085,45.71,25.57217391304348,41.26136363636363,55.79636363636364,13.822608695652173,2.2086956521739127,11.863913043478261,0.05818181818181818,0.8921739130434783,,24.769565217391307,74.01782608695652,1.147391304347826,17.159565217391304,149.446,940.0226086956521,,1.6908695652173913,0.25
2016-08-05,21.70875,21.164583333333333,13.395416666666668,39.28875,52.682500000000005,7.239999999999999,1.8004166666666668,11.475416666666668,0.07666666666666667,1.0120833333333332,,23.537916666666664,79.58041666666666,0.6175,15.75875,63.27375,939.9616666666667,,0.5041666666666667,0.288
2016-08-06,23.785416666666666,23.273750000000003,12.687083333333334,37.97083333333334,50.659166666666664,6.857916666666667,2.0204166666666663,11.458333333333334,0.052083333333333336,0.7441666666666666,,24.107916666666668,75.46333333333332,1.1720833333333334,15.886666666666665,116.95,940.6854166666667,,0.3545833333333333,0.25
